time_mandante;time_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante;resultado;NaN;NaN;NaN;NaN;NaN
Gremio;Cuiaba;1;0;1;0;3;4;10;5;5;10;3;3;0;0;7;14;3;8;1;NaN;NaN;NaN;NaN;NaN
Gremio;Botafogo;1;2;1;1;7;4;12;11;11;12;3;2;0;0;15;14;5;5;3;NaN;NaN;NaN;NaN;NaN
Gremio;Atletico Goianiense;3;1;1;1;4;3;14;18;18;13;4;3;0;0;11;13;3;4;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Bahia;1;2;0;1;5;1;10;5;5;8;2;4;6;0;16;10;10;5;3;NaN;NaN;NaN;NaN;NaN
Botafogo;Fluminense;1;0;0;0;14;2;22;14;14;8;0;5;4;0;19;6;9;5;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Flamengo;4;1;1;1;5;2;17;7;7;17;2;5;3;0;19;10;7;4;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Fortaleza;2;0;0;0;9;6;13;8;8;12;1;5;2;0;22;10;8;5;1;NaN;NaN;NaN;NaN;NaN
Botafogo;Gremio;0;0;0;0;5;3;10;14;13;9;4;3;2;0;15;11;6;5;3;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Botafogo;3;2;1;1;6;3;12;11;11;10;1;2;2;0;15;6;4;3;1;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Vitoria;3;1;0;0;10;4;12;6;5;11;3;3;0;0;15;8;5;5;1;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Athletico Paranaense;2;0;1;0;7;12;8;6;6;7;3;5;1;0;22;14;8;6;1;NaN;NaN;NaN;NaN;NaN
Cruzeiro;Vasco;1;1;0;1;11;4;7;6;6;6;3;5;1;0;15;13;8;6;3;NaN;NaN;NaN;NaN;NaN
Bahia;Vitoria;2;0;1;0;3;7;10;12;11;9;5;1;2;0;7;13;2;3;1;NaN;NaN;NaN;NaN;NaN
Flamengo;Gremio;2;1;1;0;4;6;9;10;10;7;4;4;0;0;16;15;8;6;1;NaN;NaN;NaN;NaN;NaN
Fortaleza;Botafogo;1;1;1;1;6;5;12;19;18;10;4;2;5;0;10;11;5;5;3;NaN;NaN;NaN;NaN;NaN
Juventude;Botafogo;3;2;2;0;6;12;10;14;14;9;7;4;1;0;16;24;3;8;1;NaN;NaN;NaN;NaN;NaN
Juventude;RB Bragantino;1;1;0;0;4;5;9;19;18;9;5;5;1;0;12;15;5;6;3;NaN;NaN;NaN;NaN;NaN
Palmeiras;Flamengo;0;0;0;0;5;5;23;14;13;23;3;1;3;0;11;8;7;3;3;NaN;NaN;NaN;NaN;NaN
Palmeiras;Corinthians;2;0;0;0;7;3;18;10;10;18;4;8;2;0;19;13;3;8;1;NaN;NaN;NaN;NaN;NaN
Palmeiras;Fortaleza;2;2;1;1;3;3;9;17;15;9;1;4;0;0;16;11;5;6;3;NaN;NaN;NaN;NaN;NaN
Cuiaba;Cruzeiro;0;0;0;0;4;5;10;10;10;10;2;4;2;0;9;13;5;5;3;NaN;NaN;NaN;NaN;NaN
Fluminense;RB Bragantino;2;2;1;0;13;6;8;19;19;8;6;9;0;0;26;16;10;7;3;NaN;NaN;NaN;NaN;NaN
Fluminense;Vitoria;0;1;0;0;6;2;14;12;11;14;5;5;2;0;12;9;4;1;3;NaN;NaN;NaN;NaN;NaN
Fluminense;Sao Paulo;2;0;1;0;5;4;13;16;16;12;2;3;0;0;10;15;3;6;1;NaN;NaN;NaN;NaN;NaN
